country_code,code,name,active
AZ,51,Şǝmkir,true
BA,BRC,Brčko,true
BA,01,Federation of B&H,true
BA,02,Srpska,true
BB,01,Christ Church,true
BB,02,Saint Andrew,true
BB,03,Saint George,true
BB,04,Saint James,true
BB,05,Saint John,true
BB,06,Saint Joseph,true
BB,07,Saint Lucy,true
BB,08,Saint Michael,true
BB,09,Saint Peter,true
BB,10,Saint Philip,true
BB,11,Saint Thomas,true
BD,85,Barisal Division,true
BD,84,Chittagong,true
BD,81,Dhaka Division,true
BD,82,Khulna Division,true
BD,H,Mymensingh Division,true
BD,83,Rajshahi Division,true
BD,87,Rangpur Division,true
BD,86,Sylhet Division,true
BE,BRU,Brussels Capital,true
BE,VLG,Flanders,true
BE,WAL,Wallonia,true
BF,01,Boucle du Mouhoun,true
BF,02,Cascades Region,true
BF,03,Centre,true
BF,04,Centre-Est,true
BF,05,Centre-Nord,true
BF,06,Centre-Ouest,true
BF,07,Centre-Sud,true
BF,08,Est,true
BF,09,Hauts-Bassins,true
BF,10,Nord,true
BF,11,Plateau-Central,true
BF,12,Sahel,true
BF,13,Sud-Ouest,true
BG,38,Blagoevgrad,true
BG,39,Burgas,true
BG,40,Dobrich,true
BG,41,Gabrovo,true
BG,43,Haskovo,true
BG,44,Kardzhali,true
BG,45,Kyustendil,true
BG,46,Lovech,true
BG,47,Montana,true
BG,48,Pazardzhik,true
BG,49,Pernik,true
BG,50,Pleven,true
BG,51,Plovdiv,true
BG,52,Razgrad,true
BG,53,Ruse,true
BG,54,Shumen,true
BG,55,Silistra,true
BG,56,Sliven,true
BG,57,Smolyan,true
BG,58,Sofia,true
BG,42,Sofia-Capital,true
BG,59,Stara Zagora,true
BG,60,Targovishte,true
BG,61,Varna,true
BG,62,Veliko Tarnovo,true
BG,63,Vidin,true
BG,64,Vratsa,true
BG,65,Yambol,true
BH,16,Manama,true
BH,15,Muharraq,true
BH,19,Northern,true
BH,17,Southern Governorate,true
BI,09,Bubanza,true
BI,24,Bujumbura Mairie,true
BI,25,Bujumbura Rural,true
BI,10,Bururi,true
BI,11,Cankuzo,true
BI,12,Cibitoke,true
BI,13,Gitega,true
BI,15,Kayanza,true
BI,16,Kirundo,true
BI,17,Makamba,true
BI,22,Muramvya,true
BI,18,Muyinga,true
BI,19,Ngozi,true
BI,26,Rumonge,true
BI,20,Rutana,true
BI,21,Ruyigi,true
BJ,07,Alibori,true
BJ,08,Atakora,true
BJ,09,Atlantique,true
BJ,10,Borgou,true
BJ,11,Collines,true
BJ,13,Donga,true
BJ,12,Kouffo,true
BJ,14,Littoral,true
BJ,15,Mono,true
BJ,16,Ouémé,true
BJ,17,Plateau,true
BJ,18,Zou,true
BM,01,Devonshire,true
BM,02,Hamilton,true
BM,03,Hamilton city,true
BM,04,Paget,true
BM,05,Pembroke,true
BM,06,Saint George,true
BM,07,Saint Georgeʼs,true
BM,08,Sandys,true
BM,09,Smithʼs,true
BM,10,Southampton,true
BM,11,Warwick,true
BN,01,Belait,true
BN,02,Brunei-Muara District,true
BN,03,Temburong,true
BN,04,Tutong,true
BO,03,Beni Department,true
BO,01,Chuquisaca Department,true
BO,02,Cochabamba,true
BO,04,La Paz Department,true
BO,05,Oruro,true
BO,06,Pando,true
BO,07,Potosí Department,true
BO,08,Santa Cruz Department,true
BO,09,Tarija Department,true
BQ,BO,Bonaire,true
BQ,SB,Saba,true
BQ,SE,Sint Eustatius,true
BR,01,Acre,true
BR,02,Alagoas,true
BR,03,Amapá,true
BR,04,Amazonas,true
BR,05,Bahia,true
BR,06,Ceará,true
BR,08,Espírito Santo,true
BR,07,Federal District,true
BR,29,Goiás,true
BR,13,Maranhão,true
BR,14,Mato Grosso,true
BR,11,Mato Grosso do Sul,true
BR,15,Minas Gerais,true
BR,18,Paraná,true
BR,17,Paraíba,true
BR,16,Pará,true
BR,30,Pernambuco,true
BR,20,Piauí,true
BR,22,Rio Grande do Norte,true
BR,23,Rio Grande do Sul,true
BR,21,Rio de Janeiro,true
BR,24,Rondônia,true
BR,25,Roraima,true
BR,26,Santa Catarina,true
BR,28,Sergipe,true
BR,27,São Paulo,true
BR,31,Tocantins,true
BS,24,Acklins,true
BS,32,Berry Islands,true
BS,05,Bimini,true
BS,36,Black Point,true
BS,06,Cat Island,true
BS,37,Central Abaco,true
BS,38,Central Andros,true
BS,39,Central Eleuthera,true
BS,40,Crooked Island and Long Cay,true
BS,41,East Grand Bahama,true
BS,10,Exuma,true
BS,25,Freeport,true
BS,42,Grand Cay,true
BS,22,Harbour Island,true
